date,om_temperature,om_precipitation,om_wind_speed,nasa_temperature,nasa_precipitation,nasa_relative_humidity,nasa_wind_speed
2025-01-01,0.4,0.9,22.7,-3.24,0.1,96.66,4.45
2025-01-02,-0.0,0.0,17.1,-3.07,0.02,92.68,2.85
2025-01-03,1.6,0.0,15.8,-2.68,0.02,96.35,3.51
2025-01-04,-0.4,0.0,12.5,-2.15,0.04,94.51,3.22
2025-01-05,0.3,0.0,13.5,-3.2,0.02,94.97,2.54
2025-01-06,-0.9,3.2,9.7,-5.49,2.2,98.73,1.31
2025-01-07,-5.7,0.0,21.8,-8.22,0.41,87.85,4.73
2025-01-08,-7.3,0.0,14.1,-16.28,0.02,98.8,2.05
2025-01-09,-4.6,0.0,17.7,-12.36,0.0,85.94,2.65
2025-01-10,-5.4,0.0,9.4,-12.52,0.0,90.47,1.46
2025-01-11,-4.9,0.0,15.2,-11.83,0.02,99.22,2.43
2025-01-12,-4.9,0.0,14.3,-13.03,0.02,99.38,2.3
2025-01-13,-6.2,0.0,9.5,-12.66,0.03,99.94,1.53
2025-01-14,-7.4,0.0,6.2,-12.47,0.03,98.18,0.97
2025-01-15,-4.2,0.0,13.5,-7.16,0.2,96.22,1.88
2025-01-16,-4.5,1.1,15.0,-8.01,0.15,92.41,2.09
2025-01-17,-1.3,0.2,14.7,-4.72,0.5,91.88,2.44
2025-01-18,-0.1,1.5,17.0,-4.11,0.47,96.04,2.95
2025-01-19,1.9,5.5,13.7,-1.09,2.52,97.9,3.74
2025-01-20,0.5,0.2,21.3,-1.52,0.26,94.29,3.53
2025-01-21,-1.5,0.9,35.4,-2.12,0.61,87.15,7.29
2025-01-22,-8.7,0.0,26.6,-12.4,0.02,87.66,3.96
2025-01-23,-12.6,0.0,22.8,-21.59,0.0,95.1,3.3
2025-01-24,-8.9,0.0,26.0,-16.64,0.0,85.45,4.61
2025-01-25,-7.4,0.0,12.9,-13.59,0.0,91.45,2.17
2025-01-26,-5.7,0.0,11.0,-10.75,0.04,95.04,2.03
2025-01-27,-3.8,0.0,11.1,-7.64,0.06,93.92,1.57
2025-01-28,-4.8,0.0,9.7,-11.61,0.02,97.1,1.57
2025-01-29,-1.6,0.0,15.0,-3.76,0.02,89.96,3.45
2025-01-30,-1.1,0.0,11.3,-2.79,0.02,87.09,3.05
2025-01-31,-0.2,0.0,8.1,-2.22,0.04,85.05,2.68
2025-02-01,-0.3,0.0,8.3,-2.45,0.04,85.35,2.95
2025-02-02,-0.8,0.0,12.8,-2.91,0.03,87.79,3.61
2025-02-03,-2.9,0.0,13.9,-7.63,0.01,96.3,2.1
2025-02-04,-5.1,0.0,15.2,-11.84,0.02,98.87,3.05
2025-02-05,-3.5,0.0,14.9,-11.48,0.04,98.95,2.96
2025-02-06,-5.2,0.0,26.6,-10.98,0.01,96.38,4.6
2025-02-07,-9.9,0.0,28.3,-14.4,0.02,94.74,5.49
2025-02-08,-10.6,0.0,20.9,-14.47,0.04,92.22,3.54
2025-02-09,-8.0,0.6,13.8,-11.9,0.26,94.25,2.68
2025-02-10,-4.7,0.0,15.2,-9.35,0.35,96.52,3.01
2025-02-11,-3.5,0.0,13.2,-9.92,0.13,93.82,2.83
2025-02-12,-2.1,0.3,11.9,-7.63,0.32,97.97,2.2
2025-02-13,-2.8,0.0,14.5,-8.79,0.19,94.36,1.91
2025-02-14,-4.5,0.0,8.9,-8.99,0.05,91.09,0.8
2025-02-15,-2.5,0.0,9.6,-8.11,0.06,91.01,1.54
2025-02-16,-1.0,0.0,18.0,-4.64,0.01,85.35,4.56
2025-02-17,0.2,0.0,16.6,-6.4,0.01,94.51,3.24
2025-02-18,0.1,0.0,13.7,-3.24,0.01,94.03,2.84
2025-02-19,-0.2,0.0,18.2,-3.05,0.05,94.38,4.29
2025-02-20,-0.0,0.0,15.9,-2.7,0.03,94.35,4.13
2025-02-21,2.5,0.0,21.5,-0.62,0.03,92.67,4.96
2025-02-22,-2.3,3.7,18.4,-2.09,2.51,89.85,4.81
2025-02-23,-6.3,3.6,13.2,-9.74,3.51,93.25,1.55
2025-02-24,-5.4,1.9,14.9,-5.09,0.43,79.97,2.62
2025-02-25,-4.8,0.3,13.9,-3.79,2.33,81.45,3.05
2025-02-26,-1.7,1.2,21.3,-5.09,0.83,87.8,6.13
2025-02-27,-7.0,0.2,13.4,-3.75,0.46,75.88,3.2
2025-02-28,-6.0,3.1,16.1,-6.04,1.84,87.52,3.58
2025-03-01,-9.4,0.2,9.4,-10.98,0.77,86.99,1.94
2025-03-02,-9.8,1.3,16.2,-10.61,0.33,93.15,2.8
2025-03-03,-9.9,1.6,16.0,-9.73,0.29,94.34,2.08
2025-03-04,-9.0,0.0,12.9,-11.47,0.0,91.52,2.45
2025-03-05,-3.5,0.8,23.4,-5.16,0.22,88.5,4.68
